english,name,type,dosage,disposition
CLOTRIMAZOLE,کانازول,محلول,1 % 20 mL,موضعی 
CEFEPIME (AS HYDROCHLORIDE),سپیماکس,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
SERTRALINE (AS HYDROCHLORIDE),سرترالین هگزال,قرص,100 mg,خوراکی 
CETRORELIX,لیگزافرت,پودر,250 ug ug,برای تهیه محلول تزریقی پرنترال
FOLIC ACID,فولیک اسید,قرص,1 mg,خوراکی 
RISPERIDONE,رسپیروس,قرص,4 mg,خوراکی 
DESLORATADINE,دسلوراژین,شربت,2.5 mg/5 mL 120 mL,خوراکی 
ACETAMINOPHEN / OXYCODONE HYDROCHLORIDE,اکسینوفن,قرص,325 mg/5 mg,خوراکی 
ATORVASTATIN (AS CALCIUM),لیپیسید,قرص,40 mg,خوراکی 
AZITHROMYCIN,آزیترومایسین,قرص,250 mg,خوراکی 
CITICOLINE,سیتی کولین,تزریقی,125 mg/1mL 2 mL,پرنترال 
TOPOTECAN (AS HYDROCHLORIDE),هایکمتین,پودر,4 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
NORTRIPTYLINE (AS HYDROCHLORIDE),نورتریپتیلین,قرص,25 mg,خوراکی 
MINOXIDIL,ماینوکسیدیل-ناژو,محلول,50 mg/1mL 60 mL,موضعی 
METHYL SALICYLATE,متیسال,پماد,30 % 30 g,موضعی 
MODAFINIL,مدافینیل,قرص,200 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,سینوریپا,قرص,5 mg/1000 mg,خوراکی 
TRANEXAMIC ACID,بهگزامیک,کپسول,250 mg,خوراکی 
TEMOZOLOMIDE,براتوما,کپسول,20 mg,خوراکی 
TRIFLUOPERAZINE,فلوریکس,قرص,1 mg,خوراکی 
ABIRATERONE ACETATE,بیتروزیگا,قرص,500 mg,خوراکی 
CASPOFUNGIN ACETATE,لتوکان,پودر,70 mg mg,برای تهیه محلول تزریقی پرنترال
BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE,بیسمانتین,قرص,120 mg,خوراکی 
EPTIFIBATIDE,اپتیفیباتاید,محلول,0.75 mg/1mL 100 mg,تزریقی پرنترال
SIMETHICONE (DIMETHICONE ACTIVATED),دایمتیمکس,"سوسپانسیون،",40 mg/1mL 30 mL,قطره خوراکی
DICLOFENAC SODIUM,دیکلوفناک سدیم,کپسول,100 mg,پیوسته رهش خوراکی
ATOMOXETINE HYDROCHLORIDE,آتوبایوکس,کپسول,40 mg,خوراکی 
METFORMIN HYDROCHLORIDE,متفورسام,قرص,1000 mg,پیوسته رهش خوراکی
ESCITALOPRAM (AS OXALATE),لگزاتال,قرص,10 mg,خوراکی 
PHENOBARBITAL,فنوباربیتال,قرص,100 mg,خوراکی 
SORAFENIB (AS TOSYLATE),سورافنیب,قرص,200 mg,خوراکی 
DEXAMETHASONE (AS DISODIUM PHOSPHATE),دگزامتازون,تزریقی,4 mg/1mL 2 mg,پرنترال 
IPRATROPIUM BROMIDE,ایپرانازال,اسپری,42 ug/1{Puff} {dose},با دوز اندازه گیری شده از راه بینی
FORMOTEROL FUMARATE,رودیل,کپسول,12 ug,استنشاقی 
HEMODIALYSIS CONCENTRATED I ACIDIC,محلول همودیالیز اسیدی غلیظ یک,محلول,3710 meq/35 meq/35 meq/87.5 meq/3902.5 meq/122.5 meq/70 g 4920 mL,غلیظ همودیالیز
CLOBAZAM,کلوزام,قرص,10 mg,خوراکی 
OLANZAPINE,الانزاپین,قرص,5 mg,خوراکی 
GABAPENTIN,گاباپنتین,کپسول,100 mg,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,فلوتیکورت پلاس,آئروسل,25 ug/250 ug/1{dose} 120 {Puff},با دوز اندازه گیری شده استنشاقی
METOPROLOL TARTRATE,رومتالاک,قرص,50 mg,خوراکی 
SPIRONOLACTONE,اسپیرونولاکتون,قرص,100 mg,خوراکی 
THIOTHIXENE,تیوتیکسن,کپسول,5 mg,خوراکی 
BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE / BETAMETHASONE ACETATE),بتامتازون ال آ,سوسپانسیون,3 mg/3 mg/1mL mL,تزریقی پیوسته رهش پرنترال
CASPOFUNGIN ACETATE,کسپوفونژین,پودر,70 mg mg,برای تهیه محلول تزریقی پرنترال
ASA (ACETYLSALICYLIC ACID),آ اس آ,قرص,80 mg,انتریک کوتد خوراکی
TADALAFIL,تاداگرا,قرص,10 mg,خوراکی 
EMPAGLIFLOZIN,امپادیانس,قرص,25 mg,خوراکی 
LORATADINE,لوراتادین-سبحان,قرص,10 mg,خوراکی 
CYCLOPHOSPHAMIDE,اندوکسینا,محلول,200 mg/1mL 2.5,تزریقی پرنترال
AZITHROMYCIN,آزیترودر,کپسول,250 mg,خوراکی 
PIROXICAM,پیروکسی رز,تزریقی,20 mg/1mL mg,پرنترال 
CITALOPRAM,سیتالوپرام-حکیم,قرص,20 mg,خوراکی 
ERYTHROMYCIN,اریترومایسین-ناژو,محلول,2 % 60 mL,موضعی 
AMOXICILLIN,آموکسیل,پودر,250 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی
SODIUM BICARBONATE,سدیم بیکربنات,تزریقی,8.4 % 10 mL,پرنترال 
LOSARTAN POTASSIUM,لوزاژین,قرص,25 mg,خوراکی 
PACLITAXEL,پاکلکس,تزریقی,6 mg/1mL 16.7 mg,پرنترال 
DEXAMETHASONE (AS ACETATE),فورتیدکس,قرص,40 mg,خوراکی 
PANCREATIN,کرئون,کپسول,) 25000 [iU],(پلت های انتریک کوتد خوراکی
CARBAMAZEPINE,تگرتول,قرص,400 mg,پیوسته رهش خوراکی
SUMATRIPTAN (AS SUCCINATE),سومی ترکس,قرص,50 mg,خوراکی 
IBUPROFEN,ایبوپروفن-عماد,سوسپانسیون,100 mg/5mL 120 mL,خوراکی 
SALBUTAMOL (AS SULFATE),آستالین,اسپری,100 ug/1{dose} 200 {dose},با دوز اندازه گیری شده استنشاقی
FENOFIBRATE,فنوفیبرات,کپسول,200 mg,خوراکی 
TOPIRAMATE,توپیرامات آریا,قرص,50 mg,خوراکی 
MONTELUKAST (AS SODIUM),مونته لوکاست,قرص,5 mg,جویدنی خوراکی
ACETAMINOPHEN,تایفزین,قرص,500 mg,جوشان خوراکی
LOPERAMIDE HYDROCHLORIDE,لوپرامید پاک دارو,محلول,1 mg/5mL 60 mL,خوراکی 
LITHIUM CARBONATE,پایا- لیتیوم,قرص,300 mg,خوراکی 
VITAMIN D3,ویتامین د3,کپسول,50000 [iU],حاوی مایع خوراکی
FLUCONAZOLE,فلوکونازول,قرص,100 mg,خوراکی 
CIPROFLOXACIN (AS HYDROCHLORIDE),سیپروکیم,قرص,250 mg,خوراکی 
MIDAZOLAM,زودالم,تزریقی,5 mg/1mL 3 mL,پرنترال 
FORMOTEROL FUMARATE,فورمودیل,کپسول,12 ug,استنشاقی 
EVEROLIMUS,نئوراپا,قرص,10 mg,خوراکی 
NAPHAZOLINE / ANTAZOLINE,آناپریوین,"محلول،",0.05 %/0.5 % 10 mL,قطره چشمی
BACLOFEN,باکلوفن,قرص,25 mg,خوراکی 
FAMPRIDINE,فمپیرون,قرص,10 mg,پیوسته رهش خوراکی
EXPECTORANT,اکسپکتورانت,شربت,100 mg/2 mg/30 mg/5mL 60 mL,خوراکی 
BECLOMETHASONE DIPROPIONATE,بکلیت آکواناز,اسپری,50 ug/1 {dose} 150 mL,از راه بینی
EMPAGLIFLOZIN / LINAGLIPTIN / METFORMIN HYDROCHLORIDE,گلوتریو,قرص,5 mg/2.5 mg/1000 mg,پیوسته رهش خوراکی
CICLOSPORIN,کانیمونه ام ای,کپسول,50 mg,حاوی مایع خوراکی
CLOPIDOGREL (AS BISULFATE),ساناویکس,قرص,75 mg,خوراکی 
PREGABALIN,پرگابالین,کپسول,50 mg,خوراکی 
TAMSULOSIN HYDROCHLORIDE,تامولیکس,کپسول,0.4 mg,پیوسته رهش خوراکی
AZITHROMYCIN,آزیترودر,پودر,200 mg/5mL 30 mL,برای تهیه سوسپانسیون خوراکی
CELECOXIB,سلکوکسیب-حکیم,کپسول,200 mg,خوراکی 
VONOPRAZAN (AS FUMARATE),وپرازان,قرص,10 mg,خوراکی 
BRIVARACETAM,بریزانتیس,قرص,25 mg,خوراکی 
IODIXANOL,ویزینکت,تزریقی,320 mg/1mL 50 mg,پرنترال 
LOSARTAN POTASSIUM,لوزارتان,قرص,50 mg,خوراکی 
CIPROFLOXACIN (AS HYDROCHLORIDE),سیپروکینول,قرص,250 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,محلول,5 mg/1mL 100 mL,تزریقی پرنترال
URSODEOXYCHOLIC ACID,اورسوداکسی‌کولیک اسید,کپسول,300 mg,خوراکی 
MELOXICAM,روماتوبیک,قرص,7.5 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),آریستاتین,قرص,10 mg,خوراکی 
CISATRACURIUM (AS BESYLATE),سیس آتراکوریوم,تزریقی,2 mg/1mL 5 mL,پرنترال 
AZITHROMYCIN,آنی زیت,کپسول,500 mg,خوراکی 
DAPOXETINE (AS HYDROCHLORIDE),فورنیدو,قرص,30 mg,خوراکی 
BISOPROLOL FUMARATE,آرتیبت,قرص,5 mg,خوراکی 
TINIDAZOLE,تین زودکس,قرص,500 mg,خوراکی 
ACITRETIN,آسیرت,کپسول,25 mg,خوراکی 
ASA (ACETYLSALICYLIC ACID),آ اس آ-جالینوس,قرص,100 mg,جویدنی خوراکی
MEMANTINE HYDROCHLORIDE,آلزیکسا ای آر,کپسول,14 mg,پیوسته رهش خوراکی
INSULIN GLARGINE,لانسولین جی,تزریقی,100 [iU]/1mL 3 [iU],پرنترال 
LIDOCAINE HYDROCHLORIDE,لیدوکایین,تزریقی,2 % 5 mL,پرنترال 
CONTRACEPTIVE LD,اوسپت-ال دی,قرص,30 ug/0.15 mg,خوراکی 
KETOTIFEN (AS FUMARATE),کتوتیفن,قرص,1 mg,خوراکی 
PHENAZOPYRIDINE HYDROCHLORIDE,فنازوپیریدین هیدروکلراید,قرص,100 mg,خوراکی 
ADULT COLD PREPARATIONS (7-23),زکاماکس,قرص,15 mg/2 mg/5 mg/500 mg,خوراکی 
CLADRIBINE,لودریبین,محلول,1 mg/1mL 10 mg,تزریقی داخل وریدی
DILTIAZEM HYDROCHLORIDE,دیلتیازم-عماد,ژل,2 % 30 g,موضعی 
LEVOFLOXACIN,تیووکسا,قرص,750 mg,خوراکی 
GABAPENTIN,گاباپنتین-ثنامد,کپسول,300 mg,خوراکی 
CLOTRIMAZOLE,کلوتریمازول,کرم,1 % 50 g,واژینال 
ALENDRONATE (AS SODIUM),آلندرونیت,قرص,70 mg,خوراکی 
PRIMIDONE,پریمیدون,سوسپانسیون,125 mg/5mL 250 mL,خوراکی 
REPAGLINIDE,رپاگین,قرص,0.5 mg,خوراکی 
CEFALEXIN,سفالکسین-اکسیر,کپسول,500 mg,خوراکی 
AMLODIPINE (AS BESILATE) / VALSARTAN,واساران -آ,قرص,5 mg/160 mg,خوراکی 
PREGABALIN,رایپیکا,کپسول,75 mg,خوراکی 
ACETAMINOPHEN,استامینوفن-جالینوس,قرص,325 mg,خوراکی 
EPLERENONE,لپرنزو,قرص,50 mg,خوراکی 
PACLITAXEL,الوپکس,تزریقی,6 mg/1mL 25 mg,پرنترال 
DIMETHYL FUMARATE,تکفیدرا,کپسول,240 mg,انتریک کوتد خوراکی
ADAPALENE,آدالن,ژل,0.1 % 30 g,موضعی 
AMLODIPINE (AS BESILATE),نوروسک,قرص,5 mg,خوراکی 
FOSFOMYCIN (AS TROMETAMOL),برنی ادالتس,,3 g g,گرانول برای تهیه محلول خوراکی
CYCLOPHOSPHAMIDE,اندوکسان,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
METRONIDAZOLE (AS BENZOATE),مترونیدارزول,سوسپانسیون,125 mg/5mL 120 mL,خوراکی 
SODIUM CHLORIDE,سدیم کلراید,محلول,0.45 % 500 mL,تزریقی پرنترال
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,سینوریپا,قرص,5 mg/500 mg,خوراکی 
THIORIDAZINE HYDROCHLORIDE,تیوریدازین,قرص,100 mg,خوراکی 
FUROSEMIDE,رزماید,تزریقی,10 mg/1mL 2 mL,داخل وریدی
ACETAMINOPHEN / CODEINE PHOSPHATE,پانافن کدئین,قرص,300 mg/20 mg,خوراکی 
ACETAMINOPHEN,استومینوزان,شیاف,325 mg,مقعدی 
PEDIATRIC GRIPPE,سرماخوردگی کودکان,شربت,0.67 mg/10 mg/5mL 60 mL,خوراکی 
EMPAGLIFLOZIN / LINAGLIPTIN,گلوز-لین,قرص,10 mg/5 mg,خوراکی 
MEMANTINE HYDROCHLORIDE,آلزیکسا ای آر,کپسول,21 mg,پیوسته رهش خوراکی
DULOXETINE,دلوکستین,کپسول,60 mg,انتریک کوتد خوراکی
MAGNESIUM HYDROXIDE,منیزیوم هیدروکساید,سوسپانسیون,8 % 240 mL,خوراکی 
L-CARNITINE,لووکارنیت,محلول,100 mg/1mL 10 mL,خوراکی 
LEVODOPA / CARBIDOPA,لوودوپا-سی جالینوس,قرص,100 mg/10 mg,خوراکی 
BUDESONIDE / FORMOTEROL FUMARATE,استریلا,کپسول,80 ug/4.5 ug,استنشاقی 
SUGAMMADEX (AS SODIUM),بریدیون,محلول,100 mg/1mL 2 mg,تزریقی پرنترال
SITAGLIPTIN (AS PHOSPHATE),گلیستا,قرص,50 mg,خوراکی 
ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE,آلومینیوم ام جی اس-مینو,سوسپانسیون,225 mg/200 mg/25 mg/5mL 240 mL,خوراکی 
CYPROHEPTADINE HYDROCHLORIDE,سیپروهپتادین-الحاوی,قرص,4 mg,خوراکی 
TAMSULOSIN HYDROCHLORIDE,تامسوتک,کپسول,0.4 mg,پیوسته رهش خوراکی
LEVOTHYROXINE SODIUM,لووکسین,قرص,50 ug,خوراکی 
FAMOTIDINE,فاموسد,قرص,40 mg,خوراکی 
TICAGRELOR,تیکالیکس,قرص,90 mg,خوراکی 
PACLITAXEL,پکلی تاکسل اکویدا,تزریقی,6 mg/1mL 16.7 mg,پرنترال 
ADULT COLD PREPARATIONS (7-23),اکتوکلد,قرص,15 mg/2 mg/5 mg/500 mg,خوراکی 
ACETAMINOPHEN,استامینوفن,محلول,120 mg/5mL 60 mL,خوراکی 
GLICLAZIDE,کلازکس,قرص,80 mg,خوراکی 
TRIFLUOPERAZINE,پسینیزا,قرص,2 mg,خوراکی 
OMEPRAZOLE,مپرازون,کپسول,) 20 mg,(پلت های انتریک کوتد خوراکی
CALCIUM GLUCONATE,کلسیم گلوکونات,تزریقی,10 % 10 mL,پرنترال 
SUNITINIB (AS MALATE),باراتنت,کپسول,25 mg,خوراکی 
SULFACETAMIDE SODIUM,سلامید-آی,"محلول،",10 % 10 mL,قطره چشمی
ADULT COLD PREPARATIONS (4-3),آدالت فلو,قرص,325 mg/5 mg/2 mg,خوراکی 
VANCOMYCIN (AS HYDROCHLORIDE),ونکوماکس,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
DACARBAZINE,دیکاربریکس,پودر,200 mg mg,برای تهیه محلول تزریقی پرنترال
PETHIDINE HYDROCHLORIDE,رلیدین,تزریقی,50 mg/1mL 1 mL,پرنترال 
BISOPROLOL FUMARATE,پروفام,قرص,2.5 mg,خوراکی 
METHYLPREDNISOLONE ACETATE,متیل پردنیزولون استات,سوسپانسیون,40 mg/1mL 1 mL,تزریقی پرنترال
ACETAMINOPHEN,استامینوفن,محلول,150 mg/1mL 6.7 mL,غلیظ تزریقی داخل وریدی
ERYTHROMYCIN,اریترومایسین پاک دارو,محلول,4 % 60 mL,موضعی 
PANTOPRAZOLE (AS SODIUM),پپتیکر,پودر,40 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
VALSARTAN,والسارتان,قرص,160 mg,خوراکی 
BROMHEXINE HYDROCHLORIDE,برم هگزین,محلول,4 mg/5mL 60 mL,خوراکی 
VITAMIN B12,سیانوویت,تزریقی,1000 ug/1mL ug,پرنترال 
CICLOSPORIN,لاکروسپورین,"محلول،",0.05 % 10 mL,قطره چشمی
BETHANECHOL CHLORIDE,بتانکول,قرص,25 mg,خوراکی 
HYDROCHLOROTHIAZIDE,هیدروکلروتیازید,قرص,25 mg,خوراکی 
POSACONAZOLE,نوکسافیل,سوسپانسیون,40 mg/1mL 105 mL,خوراکی 
RIFAMPICIN,ریفامپین-حکیم,کپسول,150 mg,خوراکی 
CO-TRIMOXAZOLE,کوتیمت سیدال,قرص,400 mg/80 mg,خوراکی 
KETOROLAC TROMETAMOL,کتورولاک,"محلول،",0.5 % 5 mL,قطره چشمی
SILVER SULFADIAZINE,فلامکسین,کرم,1 % 50 g,موضعی 
ALPRAZOLAM,سدالام,قرص,1 mg,خوراکی 
ADULT COLD PREPARATIONS (4-7),کلدکیم,قرص,500 mg/10 mg/25 mg,خوراکی 
CLINDAMYCIN (AS PHOSPHATE),داتی سین,تزریقی,150 mg/1mL 2 mL,پرنترال 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,نواپرل,کپسول,325 mg/40 mg/200 mg,حاوی مایع خوراکی
GANCICLOVIR,گانسی سدال,پودر,500 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
CLOTRIMAZOLE,کلوتریمازول,قرص,100 mg,واژینال 
CLOTRIMAZOLE,کلوتریمازول-فارما,کرم,2 % 20 g,واژینال 
BUSPIRONE HYDROCHLORIDE,بوسپانکس,قرص,5 mg,خوراکی 
PHENYLEPHRINE HYDROCHLORIDE,فنیل افرین,اسپری,0.5 % 15 mL,از راه بینی
EPLERENONE,پلرون,قرص,50 mg,خوراکی 
FINASTERIDE,فینوسکار,قرص,1 mg,خوراکی 
VITAMIN B1 / VITAMIN B6 / VITAMIN B12,بنوروویت,تزریقی,100 mg/100 mg/1000 ug/3mL mL,پرنترال 
FEXOFENADINE HYDROCHLORIDE,فکسوتد,قرص,120 mg,خوراکی 
ESCITALOPRAM (AS OXALATE),لگزوپرام,قرص,10 mg,خوراکی 
HYDROCHLOROTHIAZIDE,هیدروکلروتیازید,قرص,50 mg,خوراکی 
BISOPROLOL FUMARATE,بیزوفار,قرص,10 mg,خوراکی 
FEXOFENADINE HYDROCHLORIDE,فستوور,قرص,120 mg,خوراکی 
IMMUNE GLOBULIN,گلوبوسل وی اف,تزریقی,50 mg/1mL 100 g,داخل وریدی
CO-AMOXICLAV,کو-آموکسی کلاو,پودر,250 mg/62.5 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی
BUDESONIDE,کورتوبودنیز-پی بی ای,اسپری,64 ug/1{dose} 120 mL,از راه بینی
MAPROTILINE HYDROCHLORIDE,ماپروتیلین,قرص,25 mg,خوراکی 
DOXYCYCLINE (AS HYCLATE),انتری داکس,کپسول,100 mg,انتریک کوتد خوراکی
ACITRETIN,آسیترتین,کپسول,25 mg,خوراکی 
CARMUSTINE,کارموستین,پودر,100 mg mg,برای تهیه محلول تزریقی پرنترال
TACROLIMUS,تاکریل,پماد,0.03 % 30 g,موضعی 
BUPROPION HYDROCHLORIDE,ولبان,قرص,150 mg,پیوسته رهش خوراکی
MANNITOL,مانیتول,محلول,20 % 500 mL,تزریقی داخل وریدی
ATORVASTATIN (AS CALCIUM),آتوکیم,قرص,20 mg,خوراکی 
PRAMIPEXOLE (AS DIHYDROCHLORIDE),پرامی پکسول نورمون,قرص,0.26 mg,پیوسته رهش خوراکی
MEXILETINE,مگزیتون,کپسول,200 mg,خوراکی 
DESLORATADINE,لورادسکو,قرص,5 mg,خوراکی 
ESOMEPRAZOLE (AS MAGNESIUM),اموزکت,کپسول,20 mg,انتریک کوتد خوراکی
TRAMADOL HYDROCHLORIDE,ترامادول,تزریقی,50 mg/1mL 1 mL,پرنترال 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنتوپرازول - ثنامد,قرص,40 mg,انتریک کوتد خوراکی
DISULFIRAM,آنتابوس,قرص,250 mg,خوراکی 
CALCIPOTRIOL,کلسیدرم,پماد,50 ug/1g 30 g,موضعی 
FULVESTRANT,فولوسترنت اور فارما,محلول,50 mg/1mL 5 mg,تزریقی پرنترال
ATORVASTATIN (AS CALCIUM),آتورواستاتین-ندا,قرص,10 mg,خوراکی 
BETAMETHASONE (AS VALERATE),بتازونیت,لوسیون,0.1 % 20 mL,موضعی 
VALPROATE SODIUM,سیمیوال,قرص,333 mg/145 mg,پیوسته رهش خوراکی
SIMETHICONE (DIMETHICONE ACTIVATED),دایمتیکون - حکیم,قرص,40 mg,جویدنی خوراکی
ZOLEDRONIC ACID,کلاستوز,محلول,5 mg/100mL mg,تزریقی پرنترال
LANSOPRAZOLE,لنسوکیم,کپسول,15 mg,انتریک کوتد خوراکی
LORATADINE,لوراتادین,شربت,5 mg/5 mL 60 mL,خوراکی 
LOSARTAN POTASSIUM,لوزارتان,قرص,50 mg,خوراکی 
CEFOTAXIME (AS SODIUM),سفوجکت,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
ROSUVASTATIN (AS CALCIUM),رزوواستاتین-سبحان,قرص,40 mg,خوراکی 
DONEPEZIL HYDROCHLORIDE,یاسنال,قرص,10 mg,خوراکی 
DIMENHYDRINATE,دیمن هیدرینات,قرص,50 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),کرستوسد,قرص,10 mg,خوراکی 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,رهافن,کپسول,325 mg/40 mg/200 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنتوسک,قرص,40 mg,انتریک کوتد خوراکی
ALLOPURINOL,آلوپورینول,قرص,100 mg,خوراکی 
AMLODIPINE (AS BESILATE) / VALSARTAN,والزومیکس,قرص,5 mg/160 mg,خوراکی 
FINGOLIMOD (AS HYDROCHLORIDE),فینگولیا,کپسول,0.5 mg,خوراکی 
VENETOCLAX,تنوکلاکس,قرص,100 mg,خوراکی 
DEXTROMETHORPHAN / PSEUDOEPHEDRINE,دکسترورامین-پی,شربت,15 mg/30 mg/5mL 60 mL,خوراکی 
PALBOCICLIB,پالبورین,کپسول,100 mg,خوراکی 
IBRUTINIB,برونیب,کپسول,140 mg,خوراکی 
AMINO ACID 5% WITH ELECTROLYTE,آمینوپلاسمال بی.براون 5% الکترولیت,محلول,500 mL,تزریقی داخل وریدی
METHYLERGONOVINE MALEATE,متیل ارگونوین,تزریقی,0.2 mg/1mL 1 mg,پرنترال 
BETAHISTINE DIHYDROCHLORIDE,بتووین,قرص,8 mg,خوراکی 
ACICLOVIR,آسیکلوویر,پودر,250 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
ADULT COLD PREPARATIONS (7-8),کلدژل-فورت,کپسول,15 mg/2 mg/5 mg/500 mg,حاوی مایع خوراکی
SODIUM CHLORIDE,رینوسالتین,اسپری,0.65 % 20 mL,از راه بینی
METHOCARBAMOL,متوکاربامول,قرص,750 mg,خوراکی 
VITAMIN B12,ویبالمین,تزریقی,1000 ug/1mL mL,پرنترال 
